id,source_id,name,brand,category,category_slug,description,price_usd,price_vnd,discount_percentage,rating,review_count,stock,sku,availability,product_url,image_url,image_path,source
71,71,Silver Pot With Glass Cap,Khác,Đồ dùng bếp,kitchen-accessories,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",39.99,1000000,5.7,3.22,3,40,KIT-BRD-SIL-071,In Stock,https://dummyjson.com/products/71,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp,data/catalog/images/product_071.webp,DummyJSON Products API
72,72,Slotted Turner,Khác,Đồ dùng bếp,kitchen-accessories,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",8.99,220000,13.35,3.4,3,88,KIT-BRD-SLO-072,In Stock,https://dummyjson.com/products/72,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp,data/catalog/images/product_072.webp,DummyJSON Products API
73,73,Spice Rack,Khác,Đồ dùng bếp,kitchen-accessories,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,19.99,500000,12.09,4.87,3,79,KIT-BRD-SPI-073,In Stock,https://dummyjson.com/products/73,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp,data/catalog/images/product_073.webp,DummyJSON Products API
74,74,Spoon,Khác,Đồ dùng bếp,kitchen-accessories,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",4.99,120000,1.53,4.03,3,59,KIT-BRD-SPO-074,In Stock,https://dummyjson.com/products/74,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp,data/catalog/images/product_074.webp,DummyJSON Products API
75,75,Tray,Khác,Đồ dùng bếp,kitchen-accessories,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",16.99,420000,7.48,4.62,3,71,KIT-BRD-TRA-075,In Stock,https://dummyjson.com/products/75,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp,data/catalog/images/product_075.webp,DummyJSON Products API
76,76,Wooden Rolling Pin,Khác,Đồ dùng bếp,kitchen-accessories,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,11.99,300000,9.75,2.92,3,80,KIT-BRD-WOO-076,In Stock,https://dummyjson.com/products/76,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp,data/catalog/images/product_076.webp,DummyJSON Products API
77,77,Yellow Peeler,Khác,Đồ dùng bếp,kitchen-accessories,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,5.99,150000,12.48,4.24,3,35,KIT-BRD-YEL-077,In Stock,https://dummyjson.com/products/77,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp,data/catalog/images/product_077.webp,DummyJSON Products API
78,78,Apple MacBook Pro 14 Inch Space Grey,Apple,Laptop,laptops,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",1999.99,50000000,4.69,3.65,3,24,LAP-APP-APP-078,In Stock,https://dummyjson.com/products/78,https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp,data/catalog/images/product_078.webp,DummyJSON Products API
79,79,Asus Zenbook Pro Dual Screen Laptop,Asus,Laptop,laptops,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",1799.99,45000000,11.14,3.95,3,45,LAP-ASU-ASU-079,In Stock,https://dummyjson.com/products/79,https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp,data/catalog/images/product_079.webp,DummyJSON Products API
80,80,Huawei Matebook X Pro,Huawei,Laptop,laptops,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",1399.99,35000000,9.38,4.98,3,75,LAP-HUA-HUA-080,In Stock,https://dummyjson.com/products/80,https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp,data/catalog/images/product_080.webp,DummyJSON Products API
81,81,Lenovo Yoga 920,Lenovo,Laptop,laptops,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",1099.99,27500000,6.55,2.86,3,40,LAP-LEN-LEN-081,In Stock,https://dummyjson.com/products/81,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp,data/catalog/images/product_081.webp,DummyJSON Products API
82,82,New DELL XPS 13 9300 Laptop,Dell,Laptop,laptops,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",1499.99,37500000,11.89,2.67,3,74,LAP-DEL-DEL-082,In Stock,https://dummyjson.com/products/82,https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp,data/catalog/images/product_082.webp,DummyJSON Products API
83,83,Blue & Black Check Shirt,Fashion Trends,Áo nam,mens-shirts,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",29.99,750000,15.35,3.64,3,38,MEN-FAS-BLU-083,In Stock,https://dummyjson.com/products/83,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp,data/catalog/images/product_083.webp,DummyJSON Products API
84,84,Gigabyte Aorus Men Tshirt,Gigabyte,Áo nam,mens-shirts,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",24.99,620000,0.94,3.18,3,90,MEN-GIG-GIG-084,In Stock,https://dummyjson.com/products/84,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp,data/catalog/images/product_084.webp,DummyJSON Products API
85,85,Man Plaid Shirt,Classic Wear,Áo nam,mens-shirts,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,34.99,870000,19.5,3.46,3,82,MEN-CLA-PLA-085,In Stock,https://dummyjson.com/products/85,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp,data/catalog/images/product_085.webp,DummyJSON Products API
86,86,Man Short Sleeve Shirt,Casual Comfort,Áo nam,mens-shirts,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",19.99,500000,6.83,2.9,3,2,MEN-CAS-SHO-086,Low Stock,https://dummyjson.com/products/86,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp,data/catalog/images/product_086.webp,DummyJSON Products API
87,87,Men Check Shirt,Urban Chic,Áo nam,mens-shirts,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",27.99,700000,11.38,2.72,3,95,MEN-URB-CHE-087,In Stock,https://dummyjson.com/products/87,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp,data/catalog/images/product_087.webp,DummyJSON Products API
88,88,Nike Air Jordan 1 Red And Black,Nike,Giày nam,mens-shoes,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",149.99,3750000,4.12,4.77,3,7,MEN-NIK-NIK-088,In Stock,https://dummyjson.com/products/88,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp,data/catalog/images/product_088.webp,DummyJSON Products API
89,89,Nike Baseball Cleats,Nike,Giày nam,mens-shoes,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,79.99,2000000,18.04,3.88,3,12,MEN-NIK-NIK-089,In Stock,https://dummyjson.com/products/89,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp,data/catalog/images/product_089.webp,DummyJSON Products API
90,90,Puma Future Rider Trainers,Puma,Giày nam,mens-shoes,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",89.99,2250000,4.2,4.9,3,90,MEN-PUM-PUM-090,In Stock,https://dummyjson.com/products/90,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp,data/catalog/images/product_090.webp,DummyJSON Products API
91,91,Sports Sneakers Off White & Red,Off White,Giày nam,mens-shoes,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",119.99,3000000,4.97,4.77,3,17,MEN-OFF-SPO-091,In Stock,https://dummyjson.com/products/91,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp,data/catalog/images/product_091.webp,DummyJSON Products API
92,92,Sports Sneakers Off White Red,Off White,Giày nam,mens-shoes,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",109.99,2750000,0.04,4.69,3,62,MEN-OFF-SPO-092,In Stock,https://dummyjson.com/products/92,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp,data/catalog/images/product_092.webp,DummyJSON Products API
93,93,Brown Leather Belt Watch,Fashion Timepieces,Đồng hồ nam,mens-watches,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",89.99,2250000,5.99,4.19,3,32,MEN-FAS-BRO-093,In Stock,https://dummyjson.com/products/93,https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp,data/catalog/images/product_093.webp,DummyJSON Products API
94,94,Longines Master Collection,Longines,Đồng hồ nam,mens-watches,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",1499.99,37500000,17.24,3.87,3,100,MEN-LON-LON-094,In Stock,https://dummyjson.com/products/94,https://cdn.dummyjson.com/product-images/mens-watches/longines-master-collection/thumbnail.webp,data/catalog/images/product_094.webp,DummyJSON Products API
95,95,Rolex Cellini Date Black Dial,Rolex,Đồng hồ nam,mens-watches,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",8999.99,225000000,8.88,4.97,3,40,MEN-ROL-ROL-095,In Stock,https://dummyjson.com/products/95,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/thumbnail.webp,data/catalog/images/product_095.webp,DummyJSON Products API
96,96,Rolex Cellini Moonphase,Rolex,Đồng hồ nam,mens-watches,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",12999.99,325000000,17.52,2.58,3,36,MEN-ROL-ROL-096,In Stock,https://dummyjson.com/products/96,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/thumbnail.webp,data/catalog/images/product_096.webp,DummyJSON Products API
97,97,Rolex Datejust,Rolex,Đồng hồ nam,mens-watches,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",10999.99,275000000,3.73,3.66,3,86,MEN-ROL-ROL-097,In Stock,https://dummyjson.com/products/97,https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp,data/catalog/images/product_097.webp,DummyJSON Products API
98,98,Rolex Submariner Watch,Rolex,Đồng hồ nam,mens-watches,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",13999.99,350000000,5.05,2.69,3,55,MEN-ROL-ROL-098,In Stock,https://dummyjson.com/products/98,https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp,data/catalog/images/product_098.webp,DummyJSON Products API
99,99,Amazon Echo Plus,Amazon,Phụ kiện di động,mobile-accessories,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,99.99,2500000,12.07,4.99,3,61,MOB-AMA-AMA-099,In Stock,https://dummyjson.com/products/99,https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp,data/catalog/images/product_099.webp,DummyJSON Products API
100,100,Apple Airpods,Apple,Phụ kiện di động,mobile-accessories,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",129.99,3250000,15.54,4.15,3,67,MOB-APP-APP-100,In Stock,https://dummyjson.com/products/100,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp,data/catalog/images/product_100.webp,DummyJSON Products API
